ticker_yf,super_cluster
NG,UTILITIES
SSE,UTILITIES
TKO,ENTERTAINMENT
BABA,CHINA_TECH
TMUS,TELECOM
REL.L,UK_EUROPE
HSBA,UK_EUROPE
LGEN.L,UK_EUROPE
ROG,UK_EUROPE
NOVN.SW,UK_EUROPE
SU,UK_EUROPE
OR,UK_EUROPE
MC,UK_EUROPE
WRB,INSURANCE
ACHR,DEFENSE_AERO
ASTS,DEFENSE_AERO
APLD,SEMIS
CRWV,AI_ROBOTICS
HYMC,ENERGY
IREN,CRYPTO
LCID,ELECTRIC_VEHICLES
MSTR,CRYPTO
OKLO,ENERGY
OPEN,REITS
RUN,ENERGY
RZLV,SPAC
UPST,FINANCIALS
BTEE.L,ETF_THEMATIC
CNDX,ETF_BROAD
EIMI,ETF_EMERGING
EQQQ.L,ETF_BROAD
IWMO,ETF_FACTOR
IWQU.L,ETF_FACTOR
VAGS.L,ETF_FIXED_INCOME
VUAG.L,ETF_BROAD
VUSA.L,ETF_BROAD
VWO,ETF_EMERGING
WSML,ETF_SMALL_CAP
SGLN.L,COMMODITIES
SSLN.L,COMMODITIES
SGLN,OTHER
REMX,COMMODITIES
PICK,COMMODITIES
CMOD,COMMODITIES
COMF,COMMODITIES
MP,COMMODITIES
FCX,COMMODITIES
MT,COMMODITIES
LSEG.L,UK_EUROPE
BA.L,DEFENSE_AERO
EXPN.L,MEGA_TECH_AI
LLOY.L,UK_EUROPE
CPG.L,UK_EUROPE
CMOD.L,COMMODITIES
COMF.L,COMMODITIES
ABNB,OTHER
AMGN,OTHER
AMT,OTHER
ANET,OTHER
APD,OTHER
AXP,OTHER
BATS.L,OTHER
BKNG,OTHER
CEG,OTHER
CRWD,OTHER
DHR,OTHER
EQIX,OTHER
GE,OTHER
GEV,OTHER
GLEN.L,OTHER
GS,OTHER
LULU,OTHER
MCD,OTHER
MELI,OTHER
MRVL,OTHER
MS,OTHER
NKE,OTHER
NOW,OTHER
NU,OTHER
ON,OTHER
PANW,OTHER
RACE,OTHER
REGN,OTHER
RR.L,OTHER
SBUX,OTHER
UBER,OTHER
VRTX,OTHER
VST,OTHER
WDAY,OTHER

# Hybrid Turtle v3 additions - Feb 2026
LRCX,MEGA_TECH_AI
TXN,MEGA_TECH_AI
ADI,MEGA_TECH_AI
NXPI,MEGA_TECH_AI
ZS,MEGA_TECH_AI
FTNT,MEGA_TECH_AI
NET,MEGA_TECH_AI
MDB,MEGA_TECH_AI
VEEV,MEGA_TECH_AI
TTD,MEGA_TECH_AI
GILD,PHARMA_BIOTECH
DXCM,PHARMA_BIOTECH
IDXX,PHARMA_BIOTECH
ZTS,PHARMA_BIOTECH
SYK,PHARMA_BIOTECH
EW,PHARMA_BIOTECH
GD,DEFENSE_AERO
TDG,DEFENSE_AERO
AXON,DEFENSE_AERO
LHX,DEFENSE_AERO
TT,INDUSTRIALS
URI,INDUSTRIALS
EMR,INDUSTRIALS
ROK,INDUSTRIALS
PH,INDUSTRIALS
CELH,CONSUMER_DISC
DECK,CONSUMER_DISC
CMG,CONSUMER_DISC
CAVA,CONSUMER_DISC
ONON,CONSUMER_DISC
WING,CONSUMER_DISC
O,REITS
DLR,REITS
PLD,REITS
CCI,REITS
WELL,REITS
TRV,INSURANCE
CB,INSURANCE
WFC,FINANCIALS
AON,INSURANCE
MKTX,FINANCIALS
XYZ,FINTECH
EOG,ENERGY
DVN,ENERGY
MPC,ENERGY
SCCO,MATERIALS
GOLD,MATERIALS
MAR,CONSUMER_DISC
HLT,CONSUMER_DISC
LYV,CONSUMER_DISC
DAL,INDUSTRIALS
APP,MEGA_TECH_AI
RH,CONSUMER_DISC
TLT,BONDS
IGLT.L,BONDS
XLE,ETF_CORE
XLF,ETF_CORE
XLV,ETF_CORE
XLK,ETF_CORE

# Missing ETF/UK ticker mappings
AIAI,AI_ROBOTICS
BTEE,ETF_THEMATIC
DGE,CONSUMER_STAPLES
INRG,ENERGY
NOVN,PHARMA_BIOTECH
REL,UK_EUROPE
SH,ETF_INVERSE
SIE,INDUSTRIALS
SPXS,ETF_INVERSE
SQQQ,ETF_INVERSE
SSLN,COMMODITIES
ULVR,CONSUMER_STAPLES
VUSA,ETF_BROAD
VXX,ETF_VOLATILITY
ALV.DE,FINANCIALS
AZN.L,PHARMA_BIOTECH
CNDX.L,ETF_CORE
EIMI.L,ETF_EMERGING
GSK.L,PHARMA_BIOTECH
HSBA.L,FINANCIALS
IWMO.L,ETF_FACTOR
MC.PA,CONSUMER_DISC
NG.L,UTILITIES
OR.PA,CONSUMER_STAPLES
RBOT.L,AI_ROBOTICS
ROG.SW,PHARMA_BIOTECH
SAP.DE,MEGA_TECH_AI
SHEL.L,ENERGY
SSE.L,UTILITIES
SU.PA,CONSUMER_STAPLES
TTE.PA,ENERGY
WSML.L,ETF_CORE

# Feb 2026 additions
MPWR,SEMIS
SWKS,SEMIS
WOLF,SEMIS
ACLS,SEMIS
FORM,SEMIS
ALGM,SEMIS
SLAB,SEMIS
CEVA,SEMIS
IFX.DE,SEMIS
STM,SEMIS
AMBA,SEMIS
HPE,MEGA_TECH_AI
AUTO.L,MEGA_TECH_AI
GTLB,MEGA_TECH_AI
BILL,MEGA_TECH_AI
ZI,MEGA_TECH_AI
BRZE,MEGA_TECH_AI
PCTY,MEGA_TECH_AI
PAYC,MEGA_TECH_AI
CIEN,MEGA_TECH_AI
NCNO,MEGA_TECH_AI
ALTR,MEGA_TECH_AI
PRU,INSURANCE
MET,INSURANCE
AFL,INSURANCE
ALL,INSURANCE
HIG,INSURANCE
CINF,INSURANCE
EG,INSURANCE
RNR,INSURANCE
RYAN,INSURANCE
ERIE,INSURANCE
BNP.PA,FINANCIALS
BMY,PHARMA_BIOTECH
PFE,PHARMA_BIOTECH
BIIB,PHARMA_BIOTECH
ALNY,PHARMA_BIOTECH
INCY,PHARMA_BIOTECH
EXEL,PHARMA_BIOTECH
ACAD,PHARMA_BIOTECH
ROIV,PHARMA_BIOTECH
PRCT,PHARMA_BIOTECH
PTCT,PHARMA_BIOTECH
HIK.L,PHARMA_BIOTECH
BWXT,DEFENSE_AERO
DRS,DEFENSE_AERO
CACI,DEFENSE_AERO
SAIC,DEFENSE_AERO
TDY,DEFENSE_AERO
HEI,DEFENSE_AERO
ESAB,INDUSTRIALS
GTLS,INDUSTRIALS
IDEX,INDUSTRIALS
DPLM.L,INDUSTRIALS
MNDI.L,INDUSTRIALS
PSON.L,INDUSTRIALS
DSV.CO,INDUSTRIALS
HLAG.DE,INDUSTRIALS
OXY,ENERGY_TRAD
FANG,ENERGY_TRAD
HAL,ENERGY_TRAD
BKR,ENERGY_TRAD
KMI,ENERGY_TRAD
WMB,ENERGY_TRAD
LNG,ENERGY_TRAD
TRGP,ENERGY_TRAD
CTRA,ENERGY_TRAD
PR,ENERGY_TRAD
NESTE.HE,ENERGY_TRAD
WDS,ENERGY_TRAD
DG,CONSUMER_DISC
DLTR,CONSUMER_DISC
FIVE,CONSUMER_DISC
WSM,CONSUMER_DISC
CHWY,CONSUMER_DISC
YETI,CONSUMER_DISC
BROS,CONSUMER_DISC
TSCO,CONSUMER_DISC
PTON,CONSUMER_DISC
MKS.L,CONSUMER_DISC
WYNN,ENTERTAINMENT
JET2.L,ENTERTAINMENT
ITV.L,MEDIA
WPP.L,MEDIA
IRM,REITS_REAL_ESTATE
INVH,REITS_REAL_ESTATE
EXR,REITS_REAL_ESTATE
ARE,REITS_REAL_ESTATE
HST,REITS_REAL_ESTATE
COLD,REITS_REAL_ESTATE
GLPI,REITS_REAL_ESTATE
SBA,REITS_REAL_ESTATE
STAG,REITS_REAL_ESTATE
KIM,REITS_REAL_ESTATE
DBK.DE,FINANCIALS
UCG.MI,FINANCIALS
ITUB,FINANCIALS
AD.AS,CONSUMER_STAPLES
BRFS,CONSUMER_STAPLES
KER.PA,UK_EUROPE
PDD,CHINA_TECH
JD,CHINA_TECH
BIDU,CHINA_TECH
LI,ELECTRIC_VEHICLES
VALE,MINERS_METALS
GRAB,EM_TECH
SEA,EM_TECH
# ========== Batch 2 additions (Feb 2026) ==========

# MEGA_TECH_AI
IBM,MEGA_TECH_AI
CSCO,MEGA_TECH_AI
ACN,MEGA_TECH_AI
ADSK,MEGA_TECH_AI
SNPS,MEGA_TECH_AI
ANSS,MEGA_TECH_AI
NTAP,MEGA_TECH_AI
PSTG,MEGA_TECH_AI
ESTC,MEGA_TECH_AI
DOMO,MEGA_TECH_AI
OCDO.L,MEGA_TECH_AI
EVO.ST,MEGA_TECH_AI
SINCH.ST,MEGA_TECH_AI
TKWY.AS,MEGA_TECH_AI

# FINANCIALS
FIS,FINANCIALS
FISV,FINANCIALS
GPN,FINANCIALS
NDAQ,FINANCIALS
CBOE,FINANCIALS
WEX,FINANCIALS
LPLA,FINANCIALS
RJF,FINANCIALS
SSNC,FINANCIALS
SEIC,FINANCIALS
WISE.L,FINANCIALS

# PHARMA_BIOTECH
MDT,PHARMA_BIOTECH
ABT,PHARMA_BIOTECH
BAX,PHARMA_BIOTECH
BDX,PHARMA_BIOTECH
HOLX,PHARMA_BIOTECH
PODD,PHARMA_BIOTECH
MMSI,PHARMA_BIOTECH
NVCR,PHARMA_BIOTECH
ATRC,PHARMA_BIOTECH
INVA,PHARMA_BIOTECH
RPRX,PHARMA_BIOTECH
JAZZ,PHARMA_BIOTECH
UTHR,PHARMA_BIOTECH
LEGN,PHARMA_BIOTECH
ARWR,PHARMA_BIOTECH
IONS,PHARMA_BIOTECH
FOLD,PHARMA_BIOTECH
IMVT,PHARMA_BIOTECH
ACVA,PHARMA_BIOTECH
PTGX,PHARMA_BIOTECH
GMAB.CO,PHARMA_BIOTECH

# INDUSTRIALS
ROP,INDUSTRIALS
TRMB,INDUSTRIALS
KEYS,INDUSTRIALS
FTV,INDUSTRIALS
AME,INDUSTRIALS
LFUS,INDUSTRIALS
ITRI,INDUSTRIALS
NOVT,INDUSTRIALS
FELE,INDUSTRIALS
XPEL,INDUSTRIALS
AHT.L,INDUSTRIALS
CATT.L,INDUSTRIALS
IMCD.AS,INDUSTRIALS
DSFIR.AS,INDUSTRIALS

# ENERGY_CLEAN
NEP,ENERGY_CLEAN
BEP,ENERGY_CLEAN
BEPC,ENERGY_CLEAN
HASI,ENERGY_CLEAN
SHLS,ENERGY_CLEAN
SEDG,ENERGY_CLEAN
NOVA,ENERGY_CLEAN
FTCI,ENERGY_CLEAN
STEM,ENERGY_CLEAN

# ENERGY_TRAD
ERF,ENERGY_TRAD

# CONSUMER_STAPLES
GIS,CONSUMER_STAPLES
K,CONSUMER_STAPLES
CPB,CONSUMER_STAPLES
MKC,CONSUMER_STAPLES
SJM,CONSUMER_STAPLES
MDLZ,CONSUMER_STAPLES
HSY,CONSUMER_STAPLES
CAG,CONSUMER_STAPLES
CHD,CONSUMER_STAPLES
HRL,CONSUMER_STAPLES
SBRY.L,CONSUMER_STAPLES
COLO-B.CO,CONSUMER_STAPLES

# CONSUMER_DISC
NXT.L,CONSUMER_DISC

# SEMIS
BESI.AS,SEMIS

# INSURANCE
ASRNL.AS,INSURANCE

# REITS_REAL_ESTATE
BBOX.L,REITS_REAL_ESTATE
LAND.L,REITS_REAL_ESTATE
SGRO.L,REITS_REAL_ESTATE
BLND.L,REITS_REAL_ESTATE
ELS,REITS_REAL_ESTATE
UDR,REITS_REAL_ESTATE
CPT,REITS_REAL_ESTATE
NNN,REITS_REAL_ESTATE
BXP,REITS_REAL_ESTATE
IIPR,REITS_REAL_ESTATE
SAFE,REITS_REAL_ESTATE
UNIT,REITS_REAL_ESTATE
ROIC,REITS_REAL_ESTATE
ALEX,REITS_REAL_ESTATESE,OTHER
HUBB,INDUSTRIALS
ELV,PHARMA_BIOTECH
WEIR.L,UK_EUROPE
REL.L,UK_EUROPE
SHEL.L,UK_EUROPE
BP.L,UK_EUROPE
HSX.L,UK_EUROPE
PRU.L,UK_EUROPE
BAE.L,UK_EUROPE
AAL.L,UK_EUROPE
RIO.L,UK_EUROPE
SMT.L,UK_EUROPE
INF.L,UK_EUROPE

# March 2026 Universe Expansion
ALEC,PHARMA_BIOTECH
ALVO,PHARMA_BIOTECH
APGE,PHARMA_BIOTECH
ARNA,PHARMA_BIOTECH
ARVN,PHARMA_BIOTECH
ASND,PHARMA_BIOTECH
ATAI,PHARMA_BIOTECH
ATNF,PHARMA_BIOTECH
AUPH,PHARMA_BIOTECH
AUTL,PHARMA_BIOTECH
AVTE,PHARMA_BIOTECH
BCAB,PHARMA_BIOTECH
BDTX,PHARMA_BIOTECH
BHVN,PHARMA_BIOTECH
BLTE,PHARMA_BIOTECH
BLUE,PHARMA_BIOTECH
BNGO,PHARMA_BIOTECH
BOLT,PHARMA_BIOTECH
BPMC,PHARMA_BIOTECH
CBIO,PHARMA_BIOTECH
CDMO,PHARMA_BIOTECH
CELC,PHARMA_BIOTECH
CGEM,PHARMA_BIOTECH
CHRS,PHARMA_BIOTECH
CLDX,PHARMA_BIOTECH
CNTB,PHARMA_BIOTECH
COLL,PHARMA_BIOTECH
CORT,PHARMA_BIOTECH
CRBP,PHARMA_BIOTECH
CRDF,PHARMA_BIOTECH
CRNX,PHARMA_BIOTECH
CRVS,PHARMA_BIOTECH
CTMX,PHARMA_BIOTECH
CYCN,PHARMA_BIOTECH
DBVT,PHARMA_BIOTECH
DNLI,PHARMA_BIOTECH
DNTH,PHARMA_BIOTECH
DSGN,PHARMA_BIOTECH
DTIL,PHARMA_BIOTECH
DYAI,PHARMA_BIOTECH
EDGW,PHARMA_BIOTECH
ELEV,PHARMA_BIOTECH
ELVN,PHARMA_BIOTECH
ENVB,PHARMA_BIOTECH
ERAS,PHARMA_BIOTECH
FBIO,PHARMA_BIOTECH
FDMT,PHARMA_BIOTECH
FHTX,PHARMA_BIOTECH
FULC,PHARMA_BIOTECH
GHRS,PHARMA_BIOTECH
GLPG,PHARMA_BIOTECH
GLYC,PHARMA_BIOTECH
GNLX,PHARMA_BIOTECH
GOSS,PHARMA_BIOTECH
GRTS,PHARMA_BIOTECH
GTHX,PHARMA_BIOTECH
HALO,PHARMA_BIOTECH
HARP,PHARMA_BIOTECH
HRMY,PHARMA_BIOTECH
HUMA,PHARMA_BIOTECH
IDYA,PHARMA_BIOTECH
IFRX,PHARMA_BIOTECH
IGMS,PHARMA_BIOTECH
IMGO,PHARMA_BIOTECH
IMTX,PHARMA_BIOTECH
INBX,PHARMA_BIOTECH
IRON,PHARMA_BIOTECH
ISEE,PHARMA_BIOTECH
ITOS,PHARMA_BIOTECH
IXHL,PHARMA_BIOTECH
JANX,PHARMA_BIOTECH
JNCE,PHARMA_BIOTECH
JSPR,PHARMA_BIOTECH
KALA,PHARMA_BIOTECH
KALV,PHARMA_BIOTECH
KNSA,PHARMA_BIOTECH
KRTX,PHARMA_BIOTECH
LABP,PHARMA_BIOTECH
LBPH,PHARMA_BIOTECH
LMNL,PHARMA_BIOTECH
LPCN,PHARMA_BIOTECH
LQDA,PHARMA_BIOTECH
LYEL,PHARMA_BIOTECH
MACK,PHARMA_BIOTECH
MBIO,PHARMA_BIOTECH
MBRX,PHARMA_BIOTECH
MCRB,PHARMA_BIOTECH
MGNX,PHARMA_BIOTECH
MIRM,PHARMA_BIOTECH
MLTX,PHARMA_BIOTECH
MOLN,PHARMA_BIOTECH
MORF,PHARMA_BIOTECH
MURA,PHARMA_BIOTECH
MYMD,PHARMA_BIOTECH
NBIX,PHARMA_BIOTECH
NERV,PHARMA_BIOTECH
NGNE,PHARMA_BIOTECH
NKTR,PHARMA_BIOTECH
NKTX,PHARMA_BIOTECH
NLSP,PHARMA_BIOTECH
NMRA,PHARMA_BIOTECH
NRIX,PHARMA_BIOTECH
NRSN,PHARMA_BIOTECH
NRXP,PHARMA_BIOTECH
NYMX,PHARMA_BIOTECH
OCUL,PHARMA_BIOTECH
ORIC,PHARMA_BIOTECH
ORMP,PHARMA_BIOTECH
ORTX,PHARMA_BIOTECH
OTLK,PHARMA_BIOTECH
OVID,PHARMA_BIOTECH
OYST,PHARMA_BIOTECH
PDSB,PHARMA_BIOTECH
PHAT,PHARMA_BIOTECH
PHIO,PHARMA_BIOTECH
PIRS,PHARMA_BIOTECH
PLUR,PHARMA_BIOTECH
PMVP,PHARMA_BIOTECH
PPBT,PHARMA_BIOTECH
PRAX,PHARMA_BIOTECH
PROC,PHARMA_BIOTECH
PROG,PHARMA_BIOTECH
PRTA,PHARMA_BIOTECH
PRVB,PHARMA_BIOTECH
PSTV,PHARMA_BIOTECH
PTIX,PHARMA_BIOTECH
PYPD,PHARMA_BIOTECH
QNRX,PHARMA_BIOTECH
RAPT,PHARMA_BIOTECH
RCKT,PHARMA_BIOTECH
RCUS,PHARMA_BIOTECH
RENB,PHARMA_BIOTECH
REPL,PHARMA_BIOTECH
RGLS,PHARMA_BIOTECH
RGNX,PHARMA_BIOTECH
RLAY,PHARMA_BIOTECH
RLMD,PHARMA_BIOTECH
RNAC,PHARMA_BIOTECH
RPTX,PHARMA_BIOTECH
RUBY,PHARMA_BIOTECH
RVPH,PHARMA_BIOTECH
RYTM,PHARMA_BIOTECH
SANG,PHARMA_BIOTECH
SBFM,PHARMA_BIOTECH
SCNI,PHARMA_BIOTECH
SELB,PHARMA_BIOTECH
SGMO,PHARMA_BIOTECH
SIOX,PHARMA_BIOTECH
SLDB,PHARMA_BIOTECH
SLNO,PHARMA_BIOTECH
SLRX,PHARMA_BIOTECH
SMMT,PHARMA_BIOTECH
SNSE,PHARMA_BIOTECH
SNTX,PHARMA_BIOTECH
SPRB,PHARMA_BIOTECH
SPRC,PHARMA_BIOTECH
SPRO,PHARMA_BIOTECH
SPRY,PHARMA_BIOTECH
SRRK,PHARMA_BIOTECH
STOK,PHARMA_BIOTECH
STRO,PHARMA_BIOTECH
SXTC,PHARMA_BIOTECH
SYBX,PHARMA_BIOTECH
SYRS,PHARMA_BIOTECH
TBPH,PHARMA_BIOTECH
TCRX,PHARMA_BIOTECH
TERN,PHARMA_BIOTECH
TGEN,PHARMA_BIOTECH
TGTX,PHARMA_BIOTECH
THTX,PHARMA_BIOTECH
TLPH,PHARMA_BIOTECH
TNYA,PHARMA_BIOTECH
TORC,PHARMA_BIOTECH
TRDA,PHARMA_BIOTECH
TRVI,PHARMA_BIOTECH
TRVN,PHARMA_BIOTECH
TSHA,PHARMA_BIOTECH
URGN,PHARMA_BIOTECH
VALN,PHARMA_BIOTECH
VCNX,PHARMA_BIOTECH
VERA,PHARMA_BIOTECH
VERV,PHARMA_BIOTECH
VIGL,PHARMA_BIOTECH
VIRI,PHARMA_BIOTECH
VLON,PHARMA_BIOTECH
VNDA,PHARMA_BIOTECH
VRCA,PHARMA_BIOTECH
VTGN,PHARMA_BIOTECH
VXRT,PHARMA_BIOTECH
VYGR,PHARMA_BIOTECH
VYNT,PHARMA_BIOTECH
WINT,PHARMA_BIOTECH
XBIT,PHARMA_BIOTECH
XCUR,PHARMA_BIOTECH
XENE,PHARMA_BIOTECH
XERS,PHARMA_BIOTECH
XFOR,PHARMA_BIOTECH
XNCR,PHARMA_BIOTECH
XOMA,PHARMA_BIOTECH
XTLB,PHARMA_BIOTECH
YMAB,PHARMA_BIOTECH
ZGNX,PHARMA_BIOTECH
ZLAB,PHARMA_BIOTECH
ZNTE,PHARMA_BIOTECH
ZNTL,PHARMA_BIOTECH
ZSAN,PHARMA_BIOTECH
ZURA,PHARMA_BIOTECH
ZVRA,PHARMA_BIOTECH
ZYME,PHARMA_BIOTECH
ARHS,CONSUMER_DISC
BARK,CONSUMER_DISC
BURL,CONSUMER_DISC
COCO,CONSUMER_DISC
COOK,CONSUMER_DISC
CRON,CONSUMER_DISC
DASH,CONSUMER_DISC
DIBS,CONSUMER_DISC
ETSY,CONSUMER_DISC
FLXS,CONSUMER_DISC
FNKO,CONSUMER_DISC
FTLF,CONSUMER_DISC
FWRG,CONSUMER_DISC
GRPN,CONSUMER_DISC
HAYW,CONSUMER_DISC
HOFV,CONSUMER_DISC
KRUS,CONSUMER_DISC
KVUE,CONSUMER_DISC
LCUT,CONSUMER_DISC
LESL,CONSUMER_DISC
LYFT,CONSUMER_DISC
MHUA,CONSUMER_DISC
MLCO,CONSUMER_DISC
MSGE,CONSUMER_DISC
MSGM,CONSUMER_DISC
MYPS,CONSUMER_DISC
NDLS,CONSUMER_DISC
NOMD,CONSUMER_DISC
NWTN,CONSUMER_DISC
NXST,CONSUMER_DISC
PBPB,CONSUMER_DISC
PETS,CONSUMER_DISC
PLBY,CONSUMER_DISC
PLCE,CONSUMER_DISC
PRTS,CONSUMER_DISC
PTLO,CONSUMER_DISC
RCKY,CONSUMER_DISC
RENT,CONSUMER_DISC
ROLV,CONSUMER_DISC
ROVR,CONSUMER_DISC
RSVR,CONSUMER_DISC
SCVL,CONSUMER_DISC
SHAK,CONSUMER_DISC
SMPL,CONSUMER_DISC
SNAX,CONSUMER_DISC
SNBR,CONSUMER_DISC
SOCH,CONSUMER_DISC
SOWG,CONSUMER_DISC
SPWH,CONSUMER_DISC
SWAG,CONSUMER_DISC
TDTH,CONSUMER_DISC
TDUP,CONSUMER_DISC
THRM,CONSUMER_DISC
TLRY,CONSUMER_DISC
TPXGY,CONSUMER_DISC
TXRH,CONSUMER_DISC
UNFI,CONSUMER_DISC
VGFC,CONSUMER_DISC
VIPS,CONSUMER_DISC
VIRC,CONSUMER_DISC
VITL,CONSUMER_DISC
VLGEA,CONSUMER_DISC
VNTG,CONSUMER_DISC
VSCO,CONSUMER_DISC
VSTO,CONSUMER_DISC
WDFC,CONSUMER_DISC
WEST,CONSUMER_DISC
WFCF,CONSUMER_DISC
WISH,CONSUMER_DISC
WLYB,CONSUMER_DISC
WVVI,CONSUMER_DISC
WVVIP,CONSUMER_DISC
WYND,CONSUMER_DISC
XELB,CONSUMER_DISC
XPOF,CONSUMER_DISC
XWEL,CONSUMER_DISC
XXII,CONSUMER_DISC
YGTY,CONSUMER_DISC
YOSH,CONSUMER_DISC
ZUMZ,CONSUMER_DISC
BNRG,ENERGY_TRAD
CLNE,ENERGY_TRAD
DSSI,ENERGY_TRAD
ERES,ENERGY_TRAD
EVGO,ENERGY_TRAD
EVTV,ENERGY_TRAD
FMST,ENERGY_TRAD
GEVO,ENERGY_TRAD
GLNG,ENERGY_TRAD
GORV,ENERGY_TRAD
GRNV,ENERGY_TRAD
HLTX,ENERGY_TRAD
HTOO,ENERGY_TRAD
HYPD,ENERGY_TRAD
KLXE,ENERGY_TRAD
MNTK,ENERGY_TRAD
MPLX,ENERGY_TRAD
MVST,ENERGY_TRAD
PLTM,ENERGY_TRAD
PTRA,ENERGY_TRAD
PUMP,ENERGY_TRAD
RGLD,ENERGY_TRAD
RNER,ENERGY_TRAD
RONI,ENERGY_TRAD
SBSW,ENERGY_TRAD
SDIG,ENERGY_TRAD
SOLY,ENERGY_TRAD
TALO,ENERGY_TRAD
TELL,ENERGY_TRAD
TRNX,ENERGY_TRAD
TUSK,ENERGY_TRAD
TZPS,ENERGY_TRAD
USAU,ENERGY_TRAD
USEG,ENERGY_TRAD
VGAS,ENERGY_TRAD
VIST,ENERGY_TRAD
VOXR,ENERGY_TRAD
VVPR,ENERGY_TRAD
WBX,ENERGY_TRAD
WFRD,ENERGY_TRAD
WGSWF,ENERGY_TRAD
WPRT,ENERGY_TRAD
WTTR,ENERGY_TRAD
XPDB,ENERGY_TRAD
XPON,ENERGY_TRAD
XPRO,ENERGY_TRAD
ZOOZ,ENERGY_TRAD
AMTB,FINANCIALS
AROW,FINANCIALS
AUCB,FINANCIALS
BIGZ,FINANCIALS
BRDG,FINANCIALS
CASH,FINANCIALS
CMPO,FINANCIALS
COOP,FINANCIALS
EFSC,FINANCIALS
EMLD,FINANCIALS
EZPW,FINANCIALS
FOUR,FINANCIALS
FRGE,FINANCIALS
GCBC,FINANCIALS
HLNE,FINANCIALS
HOMB,FINANCIALS
HONE,FINANCIALS
HRZN,FINANCIALS
KCGI,FINANCIALS
KINS,FINANCIALS
KPLT,FINANCIALS
